glyph_id	text	unicode	source_unit	unit_kind
510	湖	U+6E56	湖	fullwidth_single
511	與	U+8207	與	fullwidth_single
512	遙	U+9059	遙	fullwidth_single
513	遠	U+9060	遠	fullwidth_single
514	彼	U+5F7C	彼	fullwidth_single
515	岸	U+5CB8	岸	fullwidth_single
516	死	U+6B7B	死	fullwidth_single
517	亡	U+4EA1	亡	fullwidth_single
518	般	U+822C	般	fullwidth_single
519	沈	U+6C88	沈	fullwidth_single
520	寂	U+5BC2	寂	fullwidth_single
521	述	U+8FF0	述	fullwidth_single
522	古	U+53E4	古	fullwidth_single
523	呼	U+547C	呼	fullwidth_single
524	向	U+5411	向	fullwidth_single
525	方	U+65B9	方	fullwidth_single
526	焰	U+7130	焰	fullwidth_single
527	審	U+5BE9	審	fullwidth_single
528	判	U+5224	判	fullwidth_single
529	未	U+672A	未	fullwidth_single
530	知	U+77E5	知	fullwidth_single
531	廊	U+5ECA	廊	fullwidth_single
532	運	U+904B	運	fullwidth_single
533	探	U+63A2	探	fullwidth_single
534	邊	U+908A	邊	fullwidth_single
535	說	U+8AAA	說	fullwidth_single
536	終	U+7D42	終	fullwidth_single
537	事	U+4E8B	事	fullwidth_single
538	學	U+5B78	學	fullwidth_single
539	須	U+9808	須	fullwidth_single
540	活	U+6D3B	活	fullwidth_single
541	轉	U+8F49	轉	fullwidth_single
542	職	U+8077	職	fullwidth_single
543	成	U+6210	成	fullwidth_single
544	業	U+696D	業	fullwidth_single
545	移	U+79FB	移	fullwidth_single
546	滅	U+6EC5	滅	fullwidth_single
547	市	U+5E02	市	fullwidth_single
548	密	U+5BC6	密	fullwidth_single
549	外	U+5916	外	fullwidth_single
550	或	U+6216	或	fullwidth_single
551	毀	U+6BC0	毀	fullwidth_single
552	除	U+9664	除	fullwidth_single
553	系	U+7CFB	系	fullwidth_single
554	統	U+7D71	統	fullwidth_single
555	必	U+5FC5	必	fullwidth_single
556	確	U+78BA	確	fullwidth_single
557	值	U+503C	值	fullwidth_single
558	『	U+300E	『	fullwidth_single
559	累	U+7D2F	累	fullwidth_single
560	下	U+4E0B	下	fullwidth_single
561	』	U+300F	』	fullwidth_single
562	聽	U+807D	聽	fullwidth_single
563	越	U+8D8A	越	fullwidth_single
564	過	U+904E	過	fullwidth_single
565	片	U+7247	片	fullwidth_single
566	海	U+6D77	海	fullwidth_single
567	洋	U+6D0B	洋	fullwidth_single
